province_territory,claim_office_type,total_flag,year_month,year,month,value
Nunavut,Airport,False,2016-01,2016,1,0
,Airport - Total,True,2016-01,2016,1,260
Newfoundland and Labrador,Border,False,2016-01,2016,1,0
Nova Scotia,Border,False,2016-01,2016,1,0
New Brunswick,Border,False,2016-01,2016,1,2
Quebec,Border,False,2016-01,2016,1,140
Ontario,Border,False,2016-01,2016,1,270
Manitoba,Border,False,2016-01,2016,1,20
Saskatchewan,Border,False,2016-01,2016,1,0
Alberta,Border,False,2016-01,2016,1,0
British Columbia,Border,False,2016-01,2016,1,20
Yukon,Border,False,2016-01,2016,1,0
,Border - Total,True,2016-01,2016,1,445
Newfoundland and Labrador,Inland,False,2016-01,2016,1,0
Prince Edward Island,Inland,False,2016-01,2016,1,0
Nova Scotia,Inland,False,2016-01,2016,1,2
New Brunswick,Inland,False,2016-01,2016,1,0
Quebec,Inland,False,2016-01,2016,1,200
Ontario,Inland,False,2016-01,2016,1,705
Manitoba,Inland,False,2016-01,2016,1,5
Saskatchewan,Inland,False,2016-01,2016,1,10
Alberta,Inland,False,2016-01,2016,1,45
British Columbia,Inland,False,2016-01,2016,1,90
Yukon,Inland,False,2016-01,2016,1,0
Northwest Territories,Inland,False,2016-01,2016,1,0
Nunavut,Inland,False,2016-01,2016,1,0
Province/Territory of claim not stated,Inland,False,2016-01,2016,1,0
,Inland - Total,True,2016-01,2016,1,1050
,Other Offices,False,2016-01,2016,1,0
,Total ,True,2016-01,2016,1,1755
Newfoundland and Labrador,Airport,False,2016-02,2016,2,0
Nova Scotia,Airport,False,2016-02,2016,2,0
New Brunswick,Airport,False,2016-02,2016,2,0
Quebec,Airport,False,2016-02,2016,2,30
Ontario,Airport,False,2016-02,2016,2,365
Manitoba,Airport,False,2016-02,2016,2,0
Saskatchewan,Airport,False,2016-02,2016,2,0
Alberta,Airport,False,2016-02,2016,2,5
British Columbia,Airport,False,2016-02,2016,2,2
Nunavut,Airport,False,2016-02,2016,2,0
,Airport - Total,True,2016-02,2016,2,405
Newfoundland and Labrador,Border,False,2016-02,2016,2,0
Nova Scotia,Border,False,2016-02,2016,2,0
New Brunswick,Border,False,2016-02,2016,2,0
Quebec,Border,False,2016-02,2016,2,95
Ontario,Border,False,2016-02,2016,2,255
Manitoba,Border,False,2016-02,2016,2,15
Saskatchewan,Border,False,2016-02,2016,2,10
Alberta,Border,False,2016-02,2016,2,2
British Columbia,Border,False,2016-02,2016,2,15
Yukon,Border,False,2016-02,2016,2,0
,Border - Total,True,2016-02,2016,2,395
Newfoundland and Labrador,Inland,False,2016-02,2016,2,2
Prince Edward Island,Inland,False,2016-02,2016,2,0
Nova Scotia,Inland,False,2016-02,2016,2,0
New Brunswick,Inland,False,2016-02,2016,2,2
Quebec,Inland,False,2016-02,2016,2,170
Ontario,Inland,False,2016-02,2016,2,690
Manitoba,Inland,False,2016-02,2016,2,5
Saskatchewan,Inland,False,2016-02,2016,2,5
Alberta,Inland,False,2016-02,2016,2,55
British Columbia,Inland,False,2016-02,2016,2,100
Yukon,Inland,False,2016-02,2016,2,0
Northwest Territories,Inland,False,2016-02,2016,2,0
Nunavut,Inland,False,2016-02,2016,2,0
Province/Territory of claim not stated,Inland,False,2016-02,2016,2,0
,Inland - Total,True,2016-02,2016,2,1030
,Other Offices,False,2016-02,2016,2,0
,Total ,True,2016-02,2016,2,1825
Newfoundland and Labrador,Airport,False,2016-03,2016,3,2
Nova Scotia,Airport,False,2016-03,2016,3,0
New Brunswick,Airport,False,2016-03,2016,3,0
Quebec,Airport,False,2016-03,2016,3,30
Ontario,Airport,False,2016-03,2016,3,210
Manitoba,Airport,False,2016-03,2016,3,0
Saskatchewan,Airport,False,2016-03,2016,3,0
Alberta,Airport,False,2016-03,2016,3,0
British Columbia,Airport,False,2016-03,2016,3,5
Nunavut,Airport,False,2016-03,2016,3,0
,Airport - Total,True,2016-03,2016,3,250
Newfoundland and Labrador,Border,False,2016-03,2016,3,0
Nova Scotia,Border,False,2016-03,2016,3,0
New Brunswick,Border,False,2016-03,2016,3,2
Quebec,Border,False,2016-03,2016,3,85
Ontario,Border,False,2016-03,2016,3,210
Manitoba,Border,False,2016-03,2016,3,55
Saskatchewan,Border,False,2016-03,2016,3,5
Alberta,Border,False,2016-03,2016,3,5
British Columbia,Border,False,2016-03,2016,3,20
Yukon,Border,False,2016-03,2016,3,0
,Border - Total,True,2016-03,2016,3,385
Newfoundland and Labrador,Inland,False,2016-03,2016,3,0
