province_territory,category_1,category_2,total_flag,year,value
British Columbia,,,True,2002,"5,740"
Yukon,Live-In Caregivers,Live-In Caregiver Program,False,2002,5
Yukon,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,
Yukon,Live-In Caregivers,,True,2002,5
Yukon,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
Yukon,Agricultural Workers,Other Agricultural Workers,False,2002,0
Yukon,Agricultural Workers,,True,2002,0
Yukon,Other Temporary Foreign Workers with LMIA,,False,2002,25
Yukon,Caregivers,,False,2002,0
Yukon,,,True,2002,30
Northwest Territories,Live-In Caregivers,Live-In Caregiver Program,False,2002,10
Northwest Territories,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,
Northwest Territories,Live-In Caregivers,,True,2002,15
Northwest Territories,Agricultural Workers,Agricultural Stream,False,2002,0
Northwest Territories,Agricultural Workers,Other Agricultural Workers,False,2002,
Northwest Territories,Agricultural Workers,,True,2002,
Northwest Territories,Other Temporary Foreign Workers with LMIA,,False,2002,115
Northwest Territories,Caregivers,,False,2002,0
Northwest Territories,,,True,2002,130
Nunavut,Live-In Caregivers,Live-In Caregiver Program,False,2002,
Nunavut,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,0
Nunavut,Live-In Caregivers,,True,2002,
Nunavut,Agricultural Workers,Other Agricultural Workers,False,2002,0
Nunavut,Agricultural Workers,,True,2002,0
Nunavut,Other Temporary Foreign Workers with LMIA,,False,2002,15
Nunavut,Caregivers,,False,2002,0
Nunavut,,,True,2002,15
Province / Territory not stated,Not stated,,False,2002,0
Total,,,True,2002,"29,220"
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Program,False,2003,
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Occupations,False,2003,
Newfoundland and Labrador,Live-In Caregivers,,True,2003,
Newfoundland and Labrador,Agricultural Workers,Seasonal Agricultural Worker Program,False,2003,0
Newfoundland and Labrador,Agricultural Workers,Agricultural Stream,False,2003,0
Newfoundland and Labrador,Agricultural Workers,Other Agricultural Workers,False,2003,
Newfoundland and Labrador,Agricultural Workers,,True,2003,
Newfoundland and Labrador,Other Temporary Foreign Workers with LMIA,,False,2003,560
Newfoundland and Labrador,Caregivers,,False,2003,0
Newfoundland and Labrador,,,True,2003,565
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Program,False,2003,
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Occupations,False,2003,0
Prince Edward Island,Live-In Caregivers,,True,2003,
Prince Edward Island,Agricultural Workers,Seasonal Agricultural Worker Program,False,2003,0
Prince Edward Island,Agricultural Workers,Agricultural Stream,False,2003,0
Prince Edward Island,Agricultural Workers,Other Agricultural Workers,False,2003,0
Prince Edward Island,Agricultural Workers,,True,2003,0
Prince Edward Island,Other Temporary Foreign Workers with LMIA,,False,2003,65
Prince Edward Island,Caregivers,,False,2003,0
Prince Edward Island,,,True,2003,65
Nova Scotia,Live-In Caregivers,Live-In Caregiver Program,False,2003,25
